YELP URL,Business Name,Address,Telephone,URL,AVERAGE RATING,REVIEWS
http://www.yelp.com/biz/david-e-zipkowitz-dmd-new-york-2,"David E Zipkowitz, DMD","333 E 14th St, New York, NY 10003",(212) 473-9002,davidzipkowitzdmd.com,4.5 star rating,52
http://www.yelp.com/biz/irina-a-rossinski-dds-new-york,"Irina a Rossinski, DDS","30 5th Ave, New York, NY 10011",(212) 673-3700,rossinski.com,4.5 star rating,55
http://www.yelp.com/biz/the-dental-boutique-new-york,The Dental Boutique,"151 W 30th St, New York, NY 10001",(646) 649-3116,dentalboutiquenyc.com,5.0 star rating,24
http://www.yelp.com/biz/emagen-dental-new-york,Emagen Dental,"250 8th Ave, New York, NY 10011",(212) 352-9300,emagendental.com,5.0 star rating,93
http://www.yelp.com/biz/gramercy-smiles-dental-new-york,Gramercy Smiles Dental,"108 East 23rd St, New York, NY 10010",(212) 475-0284,dentist-holistic.com,4.5 star rating,32
http://www.yelp.com/biz/23rd-street-dental-new-york,23rd Street Dental,"49 W 23Rd St, New York, NY 10010",(212) 206-7215,mynyc-dentist.com,4.5 star rating,40
http://www.yelp.com/biz/ever-care-dental-new-york,Ever Care Dental,"22 E 21st St, New York, NY 10010",(212) 260-6106,evercaredental.com,4.0 star rating,13
http://www.yelp.com/biz/clarence-loflin-dds-new-york-2,"Clarence Loflin, DDS","240 Madison Ave, New York, NY 10016",(212) 685-2890,citidentalgroup.com,4.5 star rating,102
http://www.yelp.com/biz/richard-ricci-dds-and-andrea-r-cambria-dds-new-york-3,"Richard Ricci DDS & Andrea Cambria, DDS","201 East 28th St, New York, NY 10016",(212) 213-4558,gotomydentist.com,4.5 star rating,27
http://www.yelp.com/biz/madison-square-dentistry-new-york,Madison Square Dentistry,"1158 Broadway, New York, NY 10001",(212) 213-4029,madisonsquaredentistry.com,5.0 star rating,47
